id,cust_id,card_number,card_type,expiry_date
1,1,337941070677322,americanexpress,2/27/2022
2,2,3549293405947899,jcb,3/9/2023
3,3,5100174042428061,mastercard,11/16/2023
4,4,4911250101361864,switch,2/9/2023
5,5,3531137744427560,jcb,7/31/2022
6,6,337941336172803,americanexpress,3/14/2024
7,7,06044619725944849,maestro,6/9/2021
8,8,3556823952020235,jcb,2/26/2020
9,9,5893996451495327,maestro,2/14/2023
10,10,67634326277006823,maestro,7/31/2020
11,11,3557586273618834,jcb,3/27/2022
12,12,201580238473506,diners-club-enroute,5/4/2021
13,13,5429826708838826,mastercard,11/9/2023
14,14,4828621860224927,visa,3/10/2022
15,15,3587156647940159,jcb,11/27/2018
16,16,3571357801576312,jcb,12/14/2018
17,17,5487301335858505,diners-club-us-ca,10/17/2021
18,18,6333777293205785,switch,6/30/2023
19,19,3561841918886492,jcb,10/9/2023
20,20,5602240019103053,bankcard,9/10/2021
21,21,3533324801666953,jcb,1/17/2020
22,22,4508468469330383,visa-electron,7/15/2021
23,23,5602238604272184,bankcard,7/24/2022
24,24,5561358213758503,diners-club-us-ca,6/28/2020
25,25,3542406601405374,jcb,3/9/2020
26,26,3576718306865614,jcb,8/14/2021
27,27,36826107644292,diners-club-international,1/5/2020
28,28,676200665242716491,maestro,5/14/2023
29,29,50387957798150933,maestro,5/31/2023
30,30,3542301838506542,jcb,2/24/2024
31,31,5020562040197716904,maestro,7/7/2018
32,32,3580479784110130,jcb,5/23/2021
33,33,6761787700104980318,maestro,7/27/2020
34,34,3540397056767040,jcb,10/13/2020
35,35,374288285780804,americanexpress,11/9/2022
36,36,3570595474072827,jcb,8/7/2021
37,37,6388027007249677,instapayment,10/14/2019
38,38,3541888352970931,jcb,8/11/2023
39,39,3562355567861689,jcb,7/26/2022
40,40,0604399567144874,maestro,10/30/2018
41,41,201739165415514,diners-club-enroute,6/20/2021
42,42,3555514585298543,jcb,12/5/2020
43,43,675908611386161745,maestro,4/29/2023
44,44,5100147271927938,mastercard,1/15/2023
45,45,342062080733451,americanexpress,11/3/2018
46,46,30288947035809,diners-club-carte-blanche,8/24/2019
47,47,6762185176953689811,maestro,10/8/2023
48,48,3582065629337042,jcb,12/26/2020
49,49,3551054150923187,jcb,12/9/2020
50,50,3546805241987954,jcb,3/14/2023
51,51,4936958049124530,switch,10/29/2020
52,52,370644040215623,americanexpress,1/22/2019
53,53,3562056933391076,jcb,9/15/2019
54,54,3569140062159638,jcb,9/17/2021
55,55,3534611889313550,jcb,11/4/2020
56,56,4905611264249337,switch,7/26/2018
57,57,502038933703130529,maestro,10/18/2023
58,58,3563979159610243,jcb,2/17/2022
59,59,560225152003941219,china-unionpay,8/2/2019
60,60,3561758362635037,jcb,10/21/2022
61,61,56022305938893236,china-unionpay,10/16/2018
62,62,5602230000183107,china-unionpay,9/17/2021
63,63,5048370968253047,mastercard,8/3/2018
64,64,6762894605461053,maestro,3/21/2021
65,65,4508775813137706,visa-electron,6/13/2019
66,66,5610275830054853,bankcard,12/4/2018
67,67,5486398664314564,diners-club-us-ca,2/22/2020
68,68,67594990724330355,maestro,9/29/2020
69,69,3533158892399193,jcb,10/27/2022
70,70,6771600821131179395,laser,6/4/2021
71,71,4041597228576,visa,5/16/2022
72,72,4508231077161735,visa-electron,6/11/2023
73,73,3553915899614162,jcb,7/14/2021
74,74,374622477921034,americanexpress,7/7/2018
75,75,3544356168676669,jcb,2/15/2021
76,76,560222010767517752,china-unionpay,5/15/2024
77,77,3585062889918220,jcb,10/17/2019
78,78,3536975721549079,jcb,12/4/2018
79,79,3569742923102424,jcb,12/25/2020
80,80,374288416834165,americanexpress,2/4/2024
81,81,201997082732300,diners-club-enroute,11/13/2018
82,82,3565129555898087,jcb,11/9/2020
83,83,3530463927536758,jcb,4/19/2019
84,84,3561031362500514,jcb,6/2/2019
85,85,3542711878557678,jcb,8/1/2019
86,86,5544263176382386,mastercard,11/16/2022
87,87,36832827193594,diners-club-international,1/20/2021
88,88,201523371722719,diners-club-enroute,10/20/2022
89,89,30360571220849,diners-club-carte-blanche,11/15/2019
90,90,3539429328735357,jcb,1/24/2021
91,91,5100144404940359,mastercard,12/30/2023
92,92,58938184859600311,maestro,12/16/2018
93,93,3589878512809932,jcb,8/10/2023
94,94,5317145538253097,mastercard,10/28/2023
95,95,5602259713030040,bankcard,9/7/2020
96,96,3545281384992329,jcb,2/8/2021
97,97,5602252640670924048,china-unionpay,1/30/2022
98,98,502015076061859862,maestro,3/13/2024
99,99,5602230363766050,bankcard,5/9/2020
100,100,5450534128689751,mastercard,9/7/2020
101,101,6373311975672277,instapayment,6/9/2024
102,102,50381771095290581,maestro,10/15/2021
103,103,4911829856123718,switch,11/10/2022
104,104,5108752612032975,mastercard,4/22/2019
105,105,4508797881980460,visa-electron,11/28/2022
106,106,3546352037471299,jcb,5/12/2023
107,107,5602218668453599,bankcard,12/26/2021
108,108,3545643850215073,jcb,8/20/2019
109,109,56022274476999286,china-unionpay,3/19/2020
110,110,501862361285139408,maestro,7/19/2018
111,111,5243273238323132,mastercard,12/14/2022
112,112,6767149431064738690,solo,7/4/2021
113,113,3558524704956423,jcb,8/18/2022
114,114,4305195747583021,visa,8/28/2018
115,115,6386941361374941,instapayment,10/31/2018
116,116,3573193502196938,jcb,1/10/2022
117,117,5602240178541655,bankcard,1/22/2019
118,118,4175006488336254,visa-electron,6/6/2021
119,119,4405022723781065,visa-electron,5/29/2022
120,120,3570180866307428,jcb,12/11/2021
121,121,5010125573746023,mastercard,4/16/2022
122,122,5602241232391624,bankcard,3/6/2024
123,123,5602235980632502,bankcard,11/22/2020
124,124,6709977663447033329,laser,3/22/2021
125,125,3545298166484705,jcb,5/17/2024
126,126,3588533158288914,jcb,7/13/2020
127,127,3588683436335241,jcb,8/31/2022
128,128,30292793663698,diners-club-carte-blanche,2/25/2023
129,129,3584619250413627,jcb,1/24/2020
130,130,3585110736916184,jcb,10/30/2020
131,131,3588761272459976,jcb,12/22/2022
132,132,3571747523812922,jcb,3/23/2023
133,133,3569550782832514,jcb,4/28/2022
134,134,3549796803436851,jcb,4/16/2020
135,135,3546022582224324,jcb,8/26/2021
136,136,3569923678646969,jcb,3/9/2019
137,137,3542146111071619,jcb,8/5/2022
138,138,5602256968528983,bankcard,11/10/2019
139,139,6759230962327279,maestro,11/15/2018
140,140,6331100814320744028,switch,10/31/2023
141,141,3554370010051903,jcb,6/12/2019
142,142,4041370776239,visa,8/3/2019
143,143,4844453210113604,visa-electron,9/25/2020
144,144,3565773917309414,jcb,6/29/2019
145,145,3528751598213481,jcb,2/29/2020
146,146,5602218404666504,bankcard,12/22/2023
147,147,3581339367584029,jcb,2/20/2022
148,148,5100143594163780,mastercard,2/27/2024
149,149,6331109851353082,switch,10/16/2020
150,150,5602213220684377,bankcard,5/4/2022
151,151,3541999967510572,jcb,9/9/2020
152,152,3563731820703315,jcb,8/16/2022
153,153,5602234928224860,bankcard,4/13/2023
154,154,3528056991235705,jcb,3/11/2020
155,155,490503145596452407,switch,9/20/2019
156,156,3571343864469462,jcb,2/23/2021
157,157,374622646895218,americanexpress,1/5/2024
158,158,67712300637283096,laser,6/17/2022
159,159,3558524245229835,jcb,3/30/2019
160,160,30514115969911,diners-club-carte-blanche,10/2/2023
161,161,30069352225139,diners-club-carte-blanche,1/24/2020
162,162,5288797498224891,mastercard,9/14/2022
163,163,5610939488986076,bankcard,5/4/2023
164,164,4844137220521662,visa-electron,1/27/2019
165,165,4175002737458858,visa-electron,4/1/2022
166,166,5516747412405534,diners-club-us-ca,10/19/2023
167,167,3570306595234175,jcb,12/22/2023
168,168,560224503520369063,china-unionpay,6/23/2023
169,169,3588483032574164,jcb,8/26/2019
170,170,3537307755190902,jcb,1/12/2022
171,171,3588836521102617,jcb,6/27/2021
172,172,4041375539221100,visa,10/26/2022
173,173,201641208615490,diners-club-enroute,10/3/2022
174,174,3565148321023903,jcb,9/24/2023
175,175,670911528191341716,laser,10/22/2018
176,176,6706605992460566840,laser,4/24/2019
177,177,5002355254281830,mastercard,9/1/2020
178,178,6385284264196397,instapayment,4/15/2024
179,179,5602219483624729,bankcard,10/20/2020
180,180,3535578377123370,jcb,8/11/2018
181,181,3555671120556502,jcb,12/24/2023
182,182,30323539963751,diners-club-carte-blanche,1/26/2024
183,183,3563760710651870,jcb,9/13/2023
184,184,201751045967051,diners-club-enroute,10/24/2018
185,185,676734903674687368,solo,3/14/2019
186,186,3531081363767379,jcb,11/18/2021
187,187,5473611912699007,diners-club-us-ca,6/30/2019
188,188,5508086658390617,diners-club-us-ca,4/26/2019
189,189,3572389975985911,jcb,10/2/2021
190,190,67718819145962648,laser,10/5/2023
191,191,6331108394274763,switch,7/13/2018
192,192,4041595527490561,visa,2/1/2022
193,193,3556199742051339,jcb,9/25/2020
194,194,342781181698384,americanexpress,1/21/2022
195,195,6761790148341359901,maestro,11/1/2021
196,196,3531774053744589,jcb,3/17/2021
197,197,3546024409398513,jcb,11/11/2020
198,198,6767063679599410779,solo,4/20/2024
199,199,676393310306277992,maestro,8/6/2023
200,200,3541813048774513,jcb,3/12/2022
201,201,4913948200765731,visa-electron,2/9/2023
202,202,5602241363102469,china-unionpay,4/27/2020
203,203,36416077391791,diners-club-international,9/11/2018
204,204,4905426745725446803,switch,5/17/2024
205,205,3549305744076501,jcb,3/28/2022
206,206,6331109451114389,switch,12/2/2023
207,207,6370161115533720,instapayment,6/21/2019
208,208,5100136063652325,mastercard,5/8/2020
209,209,5311525085919222,mastercard,5/17/2022
210,210,3584276627960440,jcb,10/12/2020
211,211,3539479873638001,jcb,7/11/2021
212,212,3529684592269598,jcb,7/16/2021
213,213,3565830875659477,jcb,8/4/2023
214,214,5592983127803286,mastercard,4/8/2020
215,215,30014984287370,diners-club-carte-blanche,12/8/2020
216,216,3540489310290941,jcb,7/15/2018
217,217,3545003602609539,jcb,8/7/2018
218,218,30039503886360,diners-club-carte-blanche,7/23/2019
219,219,6391003468719115,instapayment,5/25/2019
220,220,67627090619470969,maestro,6/29/2021
221,221,3578651462642444,jcb,3/8/2022
222,222,6383123420488334,instapayment,7/8/2022
223,223,3589159012928195,jcb,9/16/2019
224,224,30207462628285,diners-club-carte-blanche,6/3/2021
225,225,6304661627714930260,maestro,3/2/2024
226,226,4175007999753417,visa-electron,2/13/2020
227,227,4508009972925325,visa-electron,9/22/2020
228,228,4936255171640742,switch,12/12/2021
229,229,201695996769075,diners-club-enroute,5/15/2019
230,230,5244940051087031,mastercard,7/21/2021
231,231,6334257953468105,solo,9/9/2021
232,232,503805251672676482,maestro,11/5/2022
233,233,3570762757640700,jcb,2/11/2020
234,234,337941590575063,americanexpress,2/5/2020
235,235,3560642322672481,jcb,1/8/2020
236,236,3529835957473106,jcb,12/3/2019
237,237,30263772685341,diners-club-carte-blanche,2/13/2019
238,238,6378648713144134,instapayment,10/8/2023
239,239,5356363809228100,mastercard,7/14/2022
240,240,3538262455789678,jcb,5/20/2021
241,241,3567781693661229,jcb,6/24/2022
242,242,490599027659105327,switch,6/3/2019
243,243,3579315964783788,jcb,10/6/2021
244,244,3533986133679563,jcb,12/10/2018
245,245,342920600958769,americanexpress,2/18/2021
246,246,5400151530662036,diners-club-us-ca,6/7/2019
247,247,378540878481976,americanexpress,3/24/2020
248,248,5118037055469969,mastercard,3/31/2021
249,249,201852789298289,diners-club-enroute,11/15/2020
250,250,30577936072819,diners-club-carte-blanche,12/16/2021
251,251,67613690714911548,maestro,6/5/2024
252,252,3578587119478040,jcb,6/8/2021
253,253,3538248789947579,jcb,11/22/2019
254,254,3545726918175270,jcb,8/8/2021
255,255,30166091482748,diners-club-carte-blanche,10/24/2018
256,256,201499339573033,diners-club-enroute,2/13/2024
257,257,30248578918897,diners-club-carte-blanche,9/4/2022
258,258,3560719515519545,jcb,7/26/2019
259,259,5602229888264666,bankcard,8/1/2020
260,260,3531297075108369,jcb,4/12/2019
261,261,3585164338653380,jcb,8/4/2022
262,262,3571485165986320,jcb,5/30/2020
263,263,4917905269067793,visa-electron,10/6/2023
264,264,3542997588008967,jcb,4/30/2024
265,265,3538179148642314,jcb,1/17/2021
266,266,3545315804068466,jcb,7/12/2020
267,267,5602258087676672839,china-unionpay,11/2/2023
268,268,5602210580158224,bankcard,1/23/2023
269,269,3584622529254475,jcb,5/16/2022
270,270,3538180911523913,jcb,1/29/2020
271,271,3545869867567319,jcb,8/13/2023
272,272,5100132471130046,mastercard,8/19/2020
273,273,3544904382077717,jcb,7/9/2018
274,274,5610837104357209022,china-unionpay,9/10/2020
275,275,4936684346854335636,switch,5/11/2022
276,276,3569487494177294,jcb,5/27/2019
277,277,3581344110491431,jcb,8/18/2020
278,278,3543206869694332,jcb,5/3/2022
